Time,Open,High,Low,Close,Volume
2023-10-31 19:30:00,1808.05,1810.26,1807.44,1810.06,639.8669
2023-10-31 19:45:00,1809.72,1809.82,1806.3,1807.69,822.2079
2023-10-31 20:00:00,1807.62,1812.41,1807.45,1811.47,775.729
2023-10-31 20:15:00,1810.09,1812.27,1810.08,1811.47,574.5661
2023-10-31 20:30:00,1813.23,1813.38,1810.5,1811.59,539.3565
2023-10-31 20:45:00,1811.21,1813.01,1811.21,1812.24,462.2032
2023-10-31 21:00:00,1811.83,1814.11,1811.83,1813.81,375.6738
2023-10-31 21:15:00,1812.05,1812.74,1810.73,1811.09,281.0164
2023-10-31 21:30:00,1809.15,1810.19,1806.41,1807.92,589.2701
2023-10-31 21:45:00,1807.5,1807.66,1807.18,1807.22,381.0509
2023-10-31 22:00:00,1804.88,1806.38,1804.61,1806.35,854.5932
2023-10-31 22:15:00,1806.36,1807.96,1806.35,1807.95,473.6526
2023-10-31 22:30:00,1809.34,1809.36,1808.2,1808.95,317.6016
2023-10-31 22:45:00,1810.65,1813.46,1810.65,1812.29,720.0571
2023-10-31 23:00:00,1810.43,1810.44,1808.95,1809.02,539.2832
2023-10-31 23:15:00,1811.29,1811.3,1809.15,1809.5,404.5474
2023-10-31 23:30:00,1809.09,1810.8,1809.09,1810.79,300.3176
2023-10-31 23:45:00,1813.2,1813.51,1812.53,1812.61,376.549
2023-11-01 00:00:00,1816.01,1816.32,1814.31,1814.67,389.4553
2023-11-01 00:15:00,1814.93,1814.93,1812.85,1814.29,453.3362
2023-11-01 00:30:00,1818.02,1819.76,1817.73,1819.75,845.1098
2023-11-01 00:45:00,1827.9,1828.4,1820.85,1820.85,1753.532
2023-11-01 01:00:00,1818.47,1819.09,1817.04,1817.92,644.7825
2023-11-01 01:15:00,1816.87,1817.59,1814.08,1817.04,2969.4547
2023-11-01 01:30:00,1815.7,1817.26,1815.62,1817.26,587.6759
2023-11-01 01:45:00,1815.11,1815.11,1812.84,1814.86,540.5982
2023-11-01 02:00:00,1812.0,1812.89,1811.16,1812.84,336.7837
2023-11-01 02:15:00,1810.92,1813.06,1810.91,1813.06,457.0181
2023-11-01 02:30:00,1812.11,1812.21,1811.03,1811.45,299.0994
2023-11-01 02:45:00,1812.2,1812.85,1811.05,1811.05,369.9288
2023-11-01 03:00:00,1811.86,1811.86,1809.85,1810.81,376.2064
2023-11-01 03:15:00,1808.21,1810.23,1807.68,1809.51,683.8694
2023-11-01 03:30:00,1811.61,1812.19,1809.87,1809.92,333.5632
2023-11-01 03:45:00,1809.95,1811.59,1809.94,1811.2,557.9941
2023-11-01 04:00:00,1810.9,1811.18,1809.73,1809.73,210.4999
2023-11-01 04:15:00,1808.8,1809.36,1808.3,1808.48,261.2512
2023-11-01 04:30:00,1808.7,1809.07,1808.45,1808.69,400.057
2023-11-01 04:45:00,1809.71,1809.72,1809.08,1809.72,302.4305
2023-11-01 05:00:00,1806.87,1808.67,1806.63,1808.37,303.1843
2023-11-01 05:15:00,1805.93,1805.94,1804.43,1804.81,556.5391
2023-11-01 05:30:00,1805.5,1806.1,1805.14,1805.15,383.0448
2023-11-01 05:45:00,1803.43,1803.43,1800.31,1802.47,1518.5106
2023-11-01 06:00:00,1800.38,1801.07,1800.0,1800.04,1029.0105
2023-11-01 06:15:00,1800.94,1802.36,1800.92,1801.74,589.6069
2023-11-01 06:30:00,1801.4,1801.56,1798.78,1799.74,866.3087
2023-11-01 06:45:00,1801.22,1803.1,1801.21,1803.09,539.2372
2023-11-01 07:00:00,1802.52,1804.08,1802.52,1804.07,459.2345
2023-11-01 07:15:00,1805.51,1805.72,1805.4,1805.71,361.2512
2023-11-01 07:30:00,1807.8,1807.81,1805.26,1805.26,328.3015
2023-11-01 07:45:00,1803.65,1807.56,1803.65,1807.56,755.238
2023-11-01 08:00:00,1808.01,1808.02,1803.77,1804.64,1270.0928
2023-11-01 08:15:00,1804.05,1806.0,1803.19,1806.0,680.4207
2023-11-01 08:30:00,1807.2,1807.8,1807.09,1807.62,419.8021
2023-11-01 08:45:00,1807.57,1808.0,1806.02,1806.03,546.3739
2023-11-01 09:00:00,1805.05,1805.9,1804.85,1805.03,588.1985
2023-11-01 09:15:00,1803.6,1806.04,1803.59,1806.03,435.6174
2023-11-01 09:30:00,1803.82,1805.7,1803.2,1805.36,1113.0028
2023-11-01 09:45:00,1805.83,1806.05,1805.33,1805.37,481.521
2023-11-01 10:00:00,1803.05,1805.57,1802.67,1805.56,739.4567
